request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_201,23280240.22,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18493,Pay in full today. The balance remains safely above the IDR 17304500 minimum requirement throughout the forecast.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay in full today. The balance remains safely above the INR 147800 minimum requirement throughout the forecast.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,stop:event_18662|reduce_to:event_18728:38.00,Use recommended installment plan (payment_option_583). Payments are distributed safely to maintain the required EUR 1400 reserve.
request_204,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1300 minimum reserve.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay in full today. The balance remains safely above the IDR 13994300 minimum requirement throughout the forecast.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use recommended installment plan (payment_option_592). Payments are distributed safely to maintain the required EUR 900 reserve.
request_207,4487.2,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 for full payment. Paying earlier would reduce available balance below the required ZAR 13600 minimum.
request_208,3055705.54,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait until 2024-06-15 for full payment. Paying earlier would reduce available balance below the required IDR 10470700 minimum.
request_209,1727.98,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 18400 minimum reserve.
request_210,1000.8,affordable_with_plan,partial_payment,2026-04-06:1000.80|2026-04-15:359.22,2026-04-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2026-04-15 to stay above the USD 2000 reserve.
request_211,279.51,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1500 minimum reserve.
request_212,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 29579800 minimum reserve.
request_213,2463.32,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 2100 minimum reserve.
request_214,43131.1,affordable_with_plan,partial_payment,2024-12-04:43131.10|2024-12-15:26618.90,2024-12-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2024-12-15 to stay above the INR 174900 reserve.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,stop:event_19801|reduce_to:event_19803:390.50|reduce_to:event_19802:271.70,Use recommended installment plan (payment_option_616). Payments are distributed safely to maintain the required ZAR 15700 reserve.
request_216,486.47,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required USD 1800 minimum.
request_217,19544.41,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 26800 minimum reserve.
request_218,24779740.77,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use recommended installment plan (payment_option_625). Payments are distributed safely to maintain the required IDR 34477200 reserve.
request_219,710.1,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Use recommended installment plan (payment_option_628). Payments are distributed safely to maintain the required EUR 1100 reserve.
request_220,80.62,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1100 minimum reserve.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay in full today. The balance remains safely above the INR 81500 minimum requirement throughout the forecast.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay in full today. The balance remains safely above the ZAR 27300 minimum requirement throughout the forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay in full today. The balance remains safely above the EUR 800 minimum requirement throughout the forecast.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use recommended installment plan (payment_option_645). Payments are distributed safely to maintain the required IDR 22187600 reserve.
request_225,9709549.58,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 17670700 minimum reserve.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay in full today. The balance remains safely above the INR 209400 minimum requirement throughout the forecast.
request_227,7906.67,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 62900 minimum reserve.
request_228,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 26191200 minimum reserve.
request_229,517.17,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1000 minimum reserve.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay in full today. The balance remains safely above the EUR 2000 minimum requirement throughout the forecast.
request_231,32100.16,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,Use recommended installment plan (payment_option_666). Payments are distributed safely to maintain the required ZAR 24300 reserve.
request_232,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 2400 minimum reserve.
request_233,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 10365700 minimum reserve.
request_234,185.77,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay in full today. The balance remains safely above the USD 700 minimum requirement throughout the forecast.
request_236,6001624.6,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 16768600 minimum reserve.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay in full today. The balance remains safely above the IDR 22431500 minimum requirement throughout the forecast.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use recommended installment plan (payment_option_686). Payments are distributed safely to maintain the required USD 700 reserve.
request_239,642,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Pay in full today. The balance remains safely above the USD 600 minimum requirement throughout the forecast.
request_240,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 52800 minimum reserve.
request_241,21052000,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 19252000 minimum reserve.
request_242,28.62,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 600 minimum reserve.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay in full today. The balance remains safely above the ZAR 19900 minimum requirement throughout the forecast.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay in full today. The balance remains safely above the ZAR 45900 minimum requirement throughout the forecast.
request_245,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 94600 minimum reserve.
request_246,64086,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 39300 minimum reserve.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay in full today. The balance remains safely above the EUR 1300 minimum requirement throughout the forecast.
request_248,893.07,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1300 minimum reserve.
request_249,134.85,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 600 minimum reserve.
request_250,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 35300 minimum reserve.
request_251,737.06,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1300 minimum reserve.
request_252,4078166.31,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required IDR 15152200 minimum.
request_253,1384.1,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 2300 minimum reserve.
request_254,646.87,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Wait until 2025-10-15 for full payment. Paying earlier would reduce available balance below the required USD 2500 minimum.
request_255,1124335.87,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 9813900 minimum reserve.
request_256,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 168600 minimum reserve.
request_257,332.42,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1600 minimum reserve.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay in full today. The balance remains safely above the USD 500 minimum requirement throughout the forecast.
request_259,255.43,affordable_later,wait,2024-11-15:935.00,2024-11-15,none,Wait until 2024-11-15 for full payment. Paying earlier would reduce available balance below the required EUR 600 minimum.
request_260,6568623.66,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 20727700 minimum reserve.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay in full today. The balance remains safely above the EUR 1500 minimum requirement throughout the forecast.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay in full today. The balance remains safely above the IDR 31018500 minimum requirement throughout the forecast.
request_263,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 24100 minimum reserve.
request_264,23292.29,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Wait until 2026-06-15 for full payment. Paying earlier would reduce available balance below the required INR 59500 minimum.
request_265,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 189700 minimum reserve.
request_266,776.13,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use recommended installment plan (payment_option_764). Payments are distributed safely to maintain the required EUR 900 reserve.
request_267,1663.54,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Use recommended installment plan (payment_option_767). Payments are distributed safely to maintain the required EUR 1500 reserve.
request_268,1048.55,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use recommended installment plan (payment_option_770). Payments are distributed safely to maintain the required EUR 1400 reserve.
request_269,10239.02,affordable_later,wait,2025-11-15:15490,2025-11-15,none,Wait until 2025-11-15 for full payment. Paying earlier would reduce available balance below the required ZAR 23100 minimum.
request_270,115.59,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1400 minimum reserve.
request_271,14571.92,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 58200 minimum reserve.
request_272,5470006.01,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use recommended installment plan (payment_option_780). Payments are distributed safely to maintain the required IDR 7508600 reserve.
request_273,9696214.55,affordable_with_plan,partial_payment,2026-04-07:9696214.55|2026-04-15:6164785.45,2026-04-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2026-04-15 to stay above the IDR 18774600 reserve.
request_274,2167.72,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,Use recommended installment plan (payment_option_785). Payments are distributed safely to maintain the required EUR 1800 reserve.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay in full today. The balance remains safely above the IDR 12760100 minimum requirement throughout the forecast.
